,squadra_casa,squadra_trasferta,risultato
0,Cagliari,Verona,1 - 2
1,Napoli,Sassuolo,6 - 1
2,Sampdoria,Genoa,1 - 0
3,Spezia,Lazio,3 - 4
4,Juventus,Venezia,2 - 1
5,Empoli,Torino,1 - 3
6,Milan,Fiorentina,1 - 0
7,Udinese,Inter,1 - 2
8,Roma,Bologna,0 - 0
9,Atalanta,Salernitana,1 - 1
