,squadra_casa,squadra_trasferta,risultato
0,Sampdoria,Torino,1 - 2
1,Salernitana,Lazio,0 - 3
2,Juventus,Udinese,2 - 0
3,Sassuolo,Verona,2 - 4
4,Venezia,Empoli,1 - 1
5,Roma,Cagliari,1 - 0
6,Atalanta,Inter,0 - 0
7,Bologna,Napoli,0 - 2
8,Milan,Spezia,1 - 2
9,Fiorentina,Genoa,6 - 0
