,squadra_casa,squadra_trasferta,risultato
0,Salernitana,Sassuolo,2 - 2
1,Spezia,Cagliari,2 - 0
2,Sampdoria,Juventus,1 - 3
3,Milan,Empoli,1 - 0
4,Fiorentina,Bologna,1 - 0
5,Verona,Napoli,1 - 2
6,Atalanta,Genoa,0 - 0
7,Udinese,Roma,1 - 1
8,Torino,Inter,1 - 1
9,Lazio,Venezia,1 - 0
