,squadra_casa,squadra_trasferta,risultato
0,Torino,Spezia,2 - 1
1,Venezia,Atalanta,1 - 3
2,Inter,Roma,3 - 1
3,Verona,Sampdoria,1 - 1
4,Salernitana,Fiorentina,2 - 1
5,Bologna,Udinese,2 - 2
6,Empoli,Napoli,3 - 2
7,Genoa,Cagliari,1 - 0
8,Lazio,Milan,1 - 2
9,Sassuolo,Juventus,1 - 2
