,squadra_casa,squadra_trasferta,risultato
0,Roma,Genoa,0 - 0
1,Inter,Milan,1 - 2
2,Fiorentina,Lazio,0 - 3
3,Atalanta,Cagliari,1 - 2
4,Bologna,Empoli,0 - 0
5,Sampdoria,Sassuolo,4 - 0
6,Venezia,Napoli,0 - 2
7,Udinese,Torino,2 - 0
8,Juventus,Verona,2 - 0
9,Salernitana,Spezia,2 - 2
