,squadra_casa,squadra_trasferta,risultato
0,Milan,Salernitana,2 - 0
1,Roma,Inter,0 - 3
2,Napoli,Atalanta,2 - 3
3,Bologna,Fiorentina,2 - 3
4,Spezia,Sassuolo,2 - 2
5,Venezia,Verona,3 - 4
6,Sampdoria,Lazio,1 - 3
7,Juventus,Genoa,2 - 0
8,Empoli,Udinese,3 - 1
9,Cagliari,Torino,1 - 1
