,squadra_casa,squadra_trasferta,risultato
0,Empoli,Salernitana,1 - 1
1,Verona,Torino,0 - 1
2,Udinese,Spezia,2 - 3
3,Roma,Venezia,1 - 1
4,Bologna,Sassuolo,1 - 3
5,Napoli,Genoa,3 - 0
6,Milan,Atalanta,2 - 0
7,Cagliari,Inter,1 - 3
8,Sampdoria,Fiorentina,4 - 1
9,Juventus,Lazio,2 - 2
