,squadra_casa,squadra_trasferta,risultato
0,Verona,Bologna,2 - 1
1,Genoa,Udinese,0 - 0
2,Inter,Venezia,2 - 1
3,Lazio,Atalanta,0 - 0
4,Cagliari,Fiorentina,1 - 1
5,Napoli,Salernitana,4 - 1
6,Spezia,Sampdoria,1 - 0
7,Torino,Sassuolo,1 - 1
8,Empoli,Roma,2 - 4
9,Milan,Juventus,0 - 0
