,squadra_casa,squadra_trasferta,risultato
0,Atalanta,Venezia,4 - 0
1,Fiorentina,Sampdoria,3 - 1
2,Verona,Cagliari,0 - 0
3,Salernitana,Juventus,0 - 2
4,Bologna,Roma,1 - 0
5,Inter,Spezia,2 - 0
6,Genoa,Milan,0 - 3
7,Sassuolo,Napoli,2 - 2
8,Torino,Empoli,2 - 2
9,Lazio,Udinese,4 - 4
