,squadra_casa,squadra_trasferta,risultato
0,Inter,Salernitana,5 - 0
1,Udinese,Sampdoria,2 - 1
2,Roma,Atalanta,1 - 0
3,Cagliari,Lazio,0 - 3
4,Genoa,Empoli,0 - 0
5,Bologna,Torino,0 - 0
6,Fiorentina,Verona,1 - 1
7,Venezia,Sassuolo,1 - 4
8,Juventus,Spezia,1 - 0
9,Napoli,Milan,0 - 1
