,squadra_casa,squadra_trasferta,risultato
0,Bologna,Genoa,2 - 2
1,Atalanta,Sassuolo,2 - 1
2,Fiorentina,Inter,1 - 3
3,Salernitana,Verona,2 - 2
4,Spezia,Juventus,2 - 3
5,Cagliari,Empoli,0 - 2
6,Milan,Venezia,2 - 0
7,Sampdoria,Napoli,0 - 4
8,Torino,Lazio,1 - 1
9,Roma,Udinese,1 - 0
