,squadra_casa,squadra_trasferta,risultato
0,Torino,Roma,0 - 3
1,Genoa,Bologna,0 - 1
2,Atalanta,Empoli,0 - 1
3,Fiorentina,Juventus,2 - 0
4,Lazio,Verona,3 - 3
5,Spezia,Napoli,0 - 3
6,Inter,Sampdoria,3 - 0
7,Sassuolo,Milan,0 - 3
8,Salernitana,Udinese,0 - 4
9,Venezia,Cagliari,0 - 0
