,squadra_casa,squadra_trasferta,risultato
0,Verona,Sassuolo,2 - 3
1,Inter,Genoa,4 - 0
2,Empoli,Lazio,1 - 3
3,Torino,Atalanta,1 - 2
4,Bologna,Salernitana,3 - 2
5,Udinese,Juventus,2 - 2
6,Napoli,Venezia,2 - 0
7,Roma,Fiorentina,3 - 1
8,Cagliari,Spezia,2 - 2
9,Sampdoria,Milan,0 - 1
