,0,1,2,3,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,0.0,0.0,0.0,0.0,1.75,1.707825127659933,0.75,0.9574271077563381
Sampdoria,0.0,0.0,0.0,0.0,0.25,0.5,1.75,1.707825127659933
Lecce,0.0,0.0,0.0,0.0,0.75,0.5,1.25,0.5
Monza,0.0,0.0,0.0,0.0,0.5,0.5773502691896257,2.75,0.9574271077563381
Fiorentina,0.0,0.0,0.0,0.0,0.75,1.5,0.75,0.9574271077563381
Lazio,0.0,0.0,0.0,0.0,1.5,1.2909944487358056,0.75,0.5
Salernitana,0.0,0.0,0.0,0.0,1.25,1.8929694486000912,0.5,0.5773502691896257
Spezia,0.0,0.0,0.0,0.0,0.75,0.9574271077563381,1.75,1.2583057392117916
Verona,0.0,0.0,0.0,0.0,1.0,0.816496580927726,2.0,2.0
Juventus,0.0,0.0,0.0,0.0,1.5,1.2909944487358056,0.25,0.5
Udinese,0.0,0.0,0.0,0.0,1.25,0.9574271077563381,1.25,1.8929694486000912
Atalanta,0.0,0.0,0.0,0.0,1.75,0.9574271077563381,0.5,0.5773502691896257
Inter,0.0,0.0,0.0,0.0,2.25,0.9574271077563381,1.25,1.2583057392117916
Torino,0.0,0.0,0.0,0.0,1.25,0.9574271077563381,1.25,1.2583057392117916
Cremonese,0.0,0.0,0.0,0.0,1.0,0.816496580927726,2.25,0.9574271077563381
Bologna,0.0,0.0,0.0,0.0,0.75,0.5,1.5,0.5773502691896257
Roma,0.0,0.0,0.0,0.0,1.5,1.0,0.25,0.5
Empoli,0.0,0.0,0.0,0.0,0.5,0.5773502691896257,0.75,0.5
Napoli,0.0,0.0,0.0,0.0,2.5,2.3804761428476167,0.75,0.9574271077563381
Sassuolo,0.0,0.0,0.0,0.0,0.75,0.9574271077563381,1.25,1.5
