,0,1,2,3,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,0.0,0.0,0.0,0.0,1.9375,1.181453906563152,1.0,0.7302967433402214
Sampdoria,0.0,0.0,0.0,0.0,0.5,0.6324555320336759,1.75,1.0645812948447542
Lecce,0.0,0.0,0.0,0.0,1.0,0.7302967433402214,1.125,0.5
Monza,0.0,0.0,0.0,0.0,1.0625,0.9979144919948469,1.4375,1.3647344063956182
Fiorentina,0.0,0.0,0.0,0.0,1.1875,1.0468205831628137,1.3125,1.25
Lazio,0.0,0.0,0.0,0.0,1.6875,1.40089257261219,0.8125,1.1086778913041726
Salernitana,0.0,0.0,0.0,0.0,1.25,1.1832159566199232,1.625,1.2583057392117916
Spezia,0.0,0.0,0.0,0.0,1.0,0.8944271909999159,1.75,0.9309493362512627
Verona,0.0,0.0,0.0,0.0,0.8125,0.6551081335677849,1.875,1.02469507659596
Juventus,0.0,0.0,0.0,0.0,1.5625,1.2093386622447824,0.4375,0.7274384280931732
Udinese,0.0,0.0,0.0,0.0,1.5625,1.1528949070347507,1.125,1.1474609652039003
Atalanta,0.0,0.0,0.0,0.0,1.5,0.7302967433402214,1.0625,0.9979144919948469
Inter,0.0,0.0,0.0,0.0,2.1875,1.4705441169852742,1.375,1.2041594578792296
Torino,0.0,0.0,0.0,0.0,1.0625,0.7719024117939607,1.125,0.8850612031567836
Cremonese,0.0,0.0,0.0,0.0,0.6875,0.7932002689527196,1.6875,1.3022416570411703
Bologna,0.0,0.0,0.0,0.0,1.25,0.9309493362512627,1.625,1.4548768561863463
Roma,0.0,0.0,0.0,0.0,1.1875,0.9810708435174292,0.875,0.9574271077563381
Empoli,0.0,0.0,0.0,0.0,0.8125,0.6551081335677849,1.25,1.1832159566199232
Napoli,0.0,0.0,0.0,0.0,2.3125,1.4930394055974097,0.8125,0.75
Sassuolo,0.0,0.0,0.0,0.0,1.0,1.2649110640673518,1.5,1.3165611772087666
