,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,1.8421052631578947,1.1672930649220892,1.263157894736842,0.9911892555667042
Sampdoria,0.42105263157894735,0.606976978666884,1.6842105263157894,1.0029197142425583
Lecce,0.9473684210526315,0.7798635358208024,1.1578947368421053,0.6021404316396672
Monza,1.2105263157894737,1.0316624861746775,1.4736842105263157,1.2635233389495326
Fiorentina,1.105263157894737,1.0485300208760657,1.3157894736842106,1.157230005897578
Lazio,1.8421052631578947,1.3849652179642493,0.7894736842105263,1.0841764600337105
Salernitana,1.2105263157894737,1.134261745631201,1.9473684210526316,1.8700470644857612
Spezia,0.8947368421052632,0.8752610304046612,1.5789473684210527,1.0173926082384546
Verona,0.8947368421052632,0.7374684055082,1.631578947368421,1.1160708020048364
Juventus,1.5789473684210527,1.1697953037312034,0.7894736842105263,1.3572417850765923
Udinese,1.4210526315789473,1.1212983285105116,1.105263157894737,1.1002392084403616
Atalanta,1.9473684210526316,1.6490294859747157,1.2105263157894737,1.0316624861746777
Inter,2.0,1.4529663145135578,1.3157894736842106,1.157230005897578
Torino,1.0,0.7453559924999299,1.0526315789473684,0.8481145238787244
Cremonese,0.7368421052631579,0.805681579172283,1.736842105263158,1.2401659953032225
Bologna,1.263157894736842,0.8719139396343282,1.5789473684210527,1.346426937147361
Roma,1.3157894736842106,0.9459053029269173,0.8421052631578947,0.9581903020646579
Empoli,0.8947368421052632,0.6578362547106201,1.1578947368421053,1.1672930649220894
Napoli,2.4210526315789473,1.5024346712987116,0.7368421052631579,0.7334928056269077
Sassuolo,0.9473684210526315,1.1772701101619383,1.5263157894736843,1.2187617145935723
