,0,1,2,3,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,0.0,0.0,0.0,0.0,1.85,1.1367080817685318,1.45,1.2763022245616642
Sampdoria,0.0,0.0,0.0,0.0,0.4,0.5982430416161189,1.7,0.9787209698591857
Lecce,0.0,0.0,0.0,0.0,0.95,0.7591546545162482,1.2,0.6155870112510926
Monza,0.0,0.0,0.0,0.0,1.25,1.019545822516343,1.4,1.2732056517228265
Fiorentina,0.0,0.0,0.0,0.0,1.1,1.020835571068081,1.3,1.1285761872936695
Lazio,0.0,0.0,0.0,0.0,1.8,1.3611140947574414,0.8,1.0563093645728088
Salernitana,0.0,0.0,0.0,0.0,1.25,1.118033988749895,1.9,1.8324559303956276
Spezia,0.0,0.0,0.0,0.0,0.85,0.8750939799154207,1.6,0.9947229183096801
Verona,0.0,0.0,0.0,0.0,0.9,0.7181848464596079,1.6,1.0954451150103321
Juventus,0.0,0.0,0.0,0.0,1.5,1.1920791213585393,0.85,1.3484884325167863
Udinese,0.0,0.0,0.0,0.0,1.4,1.0954451150103324,1.1,1.0711528467275957
Atalanta,0.0,0.0,0.0,0.0,1.95,1.6050905860647504,1.15,1.0399898784932577
Inter,0.0,0.0,0.0,0.0,2.0,1.4142135623730951,1.3,1.1285761872936695
Torino,0.0,0.0,0.0,0.0,1.05,0.7591546545162482,1.1,0.8522416262267903
Cremonese,0.0,0.0,0.0,0.0,0.75,0.7863975156570492,1.75,1.2085223687584246
Bologna,0.0,0.0,0.0,0.0,1.3,0.8645047258706176,1.5,1.3572417850765923
Roma,0.0,0.0,0.0,0.0,1.3,0.9233805168766387,0.9,0.9679060415469871
Empoli,0.0,0.0,0.0,0.0,0.95,0.6863327411532597,1.2,1.151657843924872
Napoli,0.0,0.0,0.0,0.0,2.4,1.4653901941300929,0.75,0.7163503994113789
Sassuolo,0.0,0.0,0.0,0.0,1.15,1.4608937423083819,1.55,1.190974832912761
