,0,1,2,3,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,0.0,0.0,0.0,0.0,2.0,1.224744871391589,1.0,0.8660254037844386
Sampdoria,0.0,0.0,0.0,0.0,0.5555555555555556,0.5270462766947299,1.8888888888888888,1.1666666666666665
Lecce,0.0,0.0,0.0,0.0,0.8888888888888888,0.6009252125773316,1.2222222222222223,0.4409585518440984
Monza,0.0,0.0,0.0,0.0,1.0,1.0,1.5555555555555556,1.4240006242195886
Fiorentina,0.0,0.0,0.0,0.0,0.7777777777777778,1.0929064207170003,1.2222222222222223,1.3017082793177759
Lazio,0.0,0.0,0.0,0.0,2.3333333333333335,1.5,0.5555555555555556,0.7264831572567789
Salernitana,0.0,0.0,0.0,0.0,1.3333333333333333,1.3228756555322954,1.5555555555555556,1.5092308563562362
Spezia,0.0,0.0,0.0,0.0,0.7777777777777778,0.9718253158075502,1.8888888888888888,1.1666666666666667
Verona,0.0,0.0,0.0,0.0,0.8888888888888888,0.7817359599705717,1.8888888888888888,1.2692955176439846
Juventus,0.0,0.0,0.0,0.0,1.3333333333333333,1.224744871391589,0.7777777777777778,0.8333333333333334
Udinese,0.0,0.0,0.0,0.0,2.111111111111111,1.1666666666666665,1.1111111111111112,1.2692955176439846
Atalanta,0.0,0.0,0.0,0.0,1.5555555555555556,0.7264831572567789,0.5555555555555556,0.7264831572567789
Inter,0.0,0.0,0.0,0.0,1.7777777777777777,0.8333333333333334,1.5555555555555556,1.2360330811826103
Torino,0.0,0.0,0.0,0.0,0.8888888888888888,0.7817359599705717,1.2222222222222223,1.0929064207170003
Cremonese,0.0,0.0,0.0,0.0,0.7777777777777778,0.6666666666666669,2.111111111111111,1.4529663145135578
Bologna,0.0,0.0,0.0,0.0,0.8888888888888888,0.7817359599705717,1.5555555555555556,0.7264831572567789
Roma,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,1.0,1.224744871391589
Empoli,0.0,0.0,0.0,0.0,0.8888888888888888,0.6009252125773316,1.2222222222222223,0.9718253158075502
Napoli,0.0,0.0,0.0,0.0,2.4444444444444446,1.6666666666666667,0.7777777777777778,0.6666666666666669
Sassuolo,0.0,0.0,0.0,0.0,1.2222222222222223,1.5634719199411433,1.1111111111111112,1.3642254619787417
