,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,2.0,1.1547005383792515,1.0,0.816496580927726
Sampdoria,0.5,0.5270462766947299,1.8,1.1352924243950933
Lecce,0.9,0.5676462121975466,1.2,0.42163702135578396
Monza,0.9,0.9944289260117533,1.5,1.35400640077266
Fiorentina,0.8,1.0327955589886446,1.2,1.2292725943057181
Lazio,2.1,1.5951314818673865,0.5,0.7071067811865476
Salernitana,1.2,1.3165611772087666,1.6,1.4298407059684812
Spezia,0.9,0.9944289260117534,1.9,1.1005049346146119
Verona,0.9,0.7378647873726218,1.9,1.1972189997378648
Juventus,1.3,1.1595018087284057,0.7,0.8232726023485646
Udinese,1.9,1.286683937707919,1.0,1.247219128924647
Atalanta,1.6,0.6992058987801011,0.6,0.699205898780101
Inter,1.8,0.7888106377466155,1.4,1.2649110640673518
Torino,0.8,0.7888106377466155,1.2,1.0327955589886444
Cremonese,0.9,0.7378647873726218,2.1,1.3703203194062978
Bologna,1.0,0.816496580927726,1.7,0.8232726023485646
Roma,1.3,0.9486832980505138,0.9,1.1972189997378648
Empoli,0.9,0.5676462121975466,1.1,0.9944289260117533
Napoli,2.5,1.5811388300841898,0.9,0.7378647873726218
Sassuolo,1.2,1.4757295747452437,1.2,1.3165611772087666
