,0,1,2,3,4
Fiorentina-Torino,0.15757588280277549,0.14730981146684713,0.21340594264277363,0.24158203356123129,0.24012632952638607
Napoli-Monza,0.1717237971258033,0.17553652139084147,0.22249222368904395,0.20371619484941525,0.22653126294489398
Genoa-Inter,0.35896876282389295,0.3119465914654492,0.10145544704349939,0.11683136382336094,0.11079783484378435
Lazio-Frosinone,0.17513377574700545,0.171926703746697,0.2092253223839817,0.2163229058604907,0.22739129226182206
Atalanta-Lecce,0.17458137046043534,0.14992640780307875,0.2389869333856253,0.19726629184640426,0.23923899650445143
Cagliari-Empoli,0.17800506694959065,0.24151519749792724,0.21078453828460525,0.17088664930653838,0.1988085479613291
Udinese-Bologna,0.37449267862981517,0.302369486706214,0.10624008757491267,0.11104043550942289,0.10585731157964368
Verona-Salernitana,0.1658428927746083,0.19878451659609045,0.22398201763447856,0.2093163227445236,0.20207425025028508
Milan-Sassuolo,0.09885413417569298,0.08256294450709262,0.2825132476106267,0.2632544882338653,0.27281518547270983
Juventus-Roma,0.16684693067276074,0.16167044486871443,0.19511747575816168,0.24095311652191653,0.23541203217845325
0,,,,,
Fiorentina-Torino,0.30161322379881467,0.197636331598636,0.14861724350906372,0.1735262476848818,0.1786069534085986
Napoli-Monza,0.25049622569166624,0.24691718850847177,0.16742184554649556,0.16232937431382485,0.17283536593953344
Genoa-Inter,0.050803249214673246,0.10982724386450322,0.3326593797106528,0.27495848649447185,0.23175164071568652
Lazio-Frosinone,0.2916136041102478,0.24729746300187452,0.13508619320746193,0.15814708559679952,0.1678556540836143
Atalanta-Lecce,0.23357782370406138,0.20403344251769934,0.19993427969251218,0.1861564062834962,0.1762980478022206
Cagliari-Empoli,0.2793475860277951,0.2498238122424107,0.1336361021248431,0.1577660506922151,0.179426448912746
Udinese-Bologna,0.053392440101074114,0.1402344288073335,0.31190595801726245,0.2684918977483334,0.2259752753259841
Verona-Salernitana,0.3356481461238547,0.2692858678362883,0.10876121237227204,0.1382095823050829,0.1480951913625104
Milan-Sassuolo,0.45197771486677185,0.18159241641514487,0.12435932890315157,0.11904323684467408,0.12302730297023637
Juventus-Roma,0.25524806942368183,0.15947138795655696,0.20319280226899522,0.18847771011188422,0.19361003023889453
