Partita,O,U
Fiorentina-Torino,0.30243172068327473,0.6975682793167253
Napoli-Monza,0.32092014759305254,0.6790798524069475
Genoa-Inter,0.26190943272358247,0.7380905672764175
Lazio-Frosinone,0.3344395406716031,0.6655604593283969
Atalanta-Lecce,0.41731143754342104,0.582688562456579
Cagliari-Empoli,0.19727350986945846,0.8027264901305415
Udinese-Bologna,0.0961562413821514,0.9038437586178486
Verona-Salernitana,0.2107283672162057,0.7892716327837943
Milan-Sassuolo,0.505059227555819,0.49494077244418094
Juventus-Roma,0.18273519249352843,0.8172648075064716
