Partita,GG,NG
Fiorentina-Torino,0.2792339670755055,0.7207660329244945
Napoli-Monza,0.42953824224932124,0.5704617577506788
Genoa-Inter,0.24175555274437233,0.7582444472556277
Lazio-Frosinone,0.4125315831810872,0.5874684168189128
Atalanta-Lecce,0.6974395786673973,0.3025604213326027
Cagliari-Empoli,0.22341926763749753,0.7765807323625025
Udinese-Bologna,0.26998240058652834,0.7300175994134717
Verona-Salernitana,0.22032940432628045,0.7796705956737195
Milan-Sassuolo,0.572299606862176,0.4277003931378241
Juventus-Roma,0.12090329597346772,0.8790967040265323
