Partita,GG,NG
Sassuolo-Salernitana,0.7848726555271013,0.21512734447289872
Genoa-Verona,0.3505528840327242,0.6494471159672758
Lecce-Milan,0.4701167627674976,0.5298832372325024
Juventus-Cagliari,0.13749451958322179,0.8625054804167782
Monza-Torino,0.12120184735698225,0.8787981526430177
Napoli-Empoli,0.4795940106837089,0.5204059893162911
Fiorentina-Bologna,0.6670129754930956,0.3329870245069045
Udinese-Atalanta,0.377685043023978,0.622314956976022
Lazio-Roma,0.37084024573652674,0.6291597542634733
Inter-Frosinone,0.20138700427483947,0.7986129957251605
