Partita,O,U
Sassuolo-Salernitana,0.7630185396820355,0.23698146031796447
Genoa-Verona,0.3715096957321776,0.6284903042678224
Lecce-Milan,0.3265316991256846,0.6734683008743154
Juventus-Cagliari,0.40763230016568397,0.592367699834316
Monza-Torino,0.07201541823862312,0.9279845817613769
Napoli-Empoli,0.5605449127873059,0.43945508721269416
Fiorentina-Bologna,0.23297051611532082,0.7670294838846792
Udinese-Atalanta,0.3903316907618868,0.6096683092381132
Lazio-Roma,0.28276301715418306,0.7172369828458169
Inter-Frosinone,0.598020419099986,0.4019795809000139
