Partita,O,U
Genoa-Salernitana,0.3054298133707499,0.6945701866292501
Sassuolo-Bologna,0.25133241676296914,0.7486675832370309
Lecce-Torino,0.14816486313344668,0.8518351368665533
Juventus-Verona,0.1396630766712541,0.8603369233287459
Cagliari-Frosinone,0.526382195889322,0.47361780411067805
Monza-Udinese,0.4891910267431856,0.5108089732568144
Inter-Roma,0.5976621123554997,0.4023378876445003
Napoli-Milan,0.8814543418941613,0.11854565810583871
Empoli-Atalanta,0.5800557801422912,0.41994421985770874
Lazio-Fiorentina,0.7748308218570539,0.22516917814294615
