Partita,GG,NG
Genoa-Salernitana,0.23738595750260294,0.7626140424973971
Sassuolo-Bologna,0.40713405955286763,0.5928659404471324
Lecce-Torino,0.13359165409165075,0.8664083459083493
Juventus-Verona,0.20494544690775707,0.7950545530922429
Cagliari-Frosinone,0.7039093503333735,0.2960906496666265
Monza-Udinese,0.3202235352504712,0.6797764647495288
Inter-Roma,0.279460634208891,0.720539365791109
Napoli-Milan,0.5614353334742228,0.4385646665257772
Empoli-Atalanta,0.17306236438243572,0.8269376356175643
Lazio-Fiorentina,0.742552372046215,0.25744762795378495
