Partita,GG,NG
Genoa-Torino,0.207191938439532,0.792808061560468
Napoli-Salernitana,0.4356798735109856,0.5643201264890144
Verona-Empoli,0.08207465700889027,0.9179253429911097
Monza-Inter,0.12256214409002131,0.8774378559099787
Lazio-Lecce,0.49007508287884693,0.5099249171211531
Cagliari-Bologna,0.414521652741334,0.585478347258666
Fiorentina-Udinese,0.44321704373255744,0.5567829562674426
Milan-Roma,0.25953132901195763,0.7404686709880424
Atalanta-Frosinone,0.43321175439579385,0.5667882456042062
Juventus-Sassuolo,0.45908808221553155,0.5409119177844685
