,squadra_casa,squadra_trasferta,risultato
0,Lazio,Lecce,2 - 2
1,Salernitana,Atalanta,1 - 0
2,Spezia,Milan,2 - 0
3,Inter,Sassuolo,4 - 2
4,Verona,Torino,0 - 1
5,Fiorentina,Udinese,2 - 0
6,Monza,Napoli,2 - 0
7,Bologna,Roma,0 - 0
8,Juventus,Cremonese,2 - 0
9,Sampdoria,Empoli,1 - 1
