,squadra_casa,squadra_trasferta,risultato
0,Torino,Lazio,0 - 0
1,Udinese,Salernitana,0 - 0
2,Inter,Spezia,3 - 0
3,Sassuolo,Lecce,1 - 0
4,Empoli,Fiorentina,0 - 0
5,Napoli,Monza,4 - 0
6,Atalanta,Milan,1 - 1
7,Bologna,Verona,1 - 1
8,Roma,Cremonese,1 - 0
9,Sampdoria,Juventus,0 - 0
