,squadra_casa,squadra_trasferta,risultato
0,Sassuolo,Milan,0 - 0
1,Inter,Cremonese,3 - 1
2,Roma,Monza,3 - 0
3,Empoli,Verona,1 - 1
4,Sampdoria,Lazio,1 - 1
5,Udinese,Fiorentina,1 - 0
6,Juventus,Spezia,2 - 0
7,Napoli,Lecce,1 - 1
8,Atalanta,Torino,3 - 1
9,Bologna,Salernitana,1 - 1
