,squadra_casa,squadra_trasferta,risultato
0,Salernitana,Milan,1 - 2
1,Sassuolo,Sampdoria,1 - 2
2,Spezia,Atalanta,2 - 2
3,Torino,Verona,1 - 1
4,Roma,Bologna,1 - 0
5,Lecce,Lazio,2 - 1
6,Cremonese,Juventus,0 - 1
7,Fiorentina,Monza,1 - 1
8,Inter,Napoli,1 - 0
9,Udinese,Empoli,1 - 1
