,squadra_casa,squadra_trasferta,risultato
0,Empoli,Napoli,0 - 2
1,Lecce,Sassuolo,0 - 1
2,Bologna,Inter,1 - 0
3,Salernitana,Monza,3 - 0
4,Udinese,Spezia,2 - 2
5,Milan,Atalanta,2 - 0
6,Verona,Fiorentina,0 - 3
7,Lazio,Sampdoria,1 - 0
8,Cremonese,Roma,2 - 1
9,Juventus,Torino,4 - 2
