,squadra_casa,squadra_trasferta,risultato
0,Milan,Lazio,2 - 0
1,Roma,Inter,0 - 2
2,Cremonese,Spezia,2 - 0
3,Atalanta,Juventus,0 - 2
4,Torino,Monza,1 - 1
5,Napoli,Fiorentina,1 - 0
6,Lecce,Verona,0 - 1
7,Empoli,Salernitana,2 - 1
8,Udinese,Sampdoria,2 - 0
9,Sassuolo,Bologna,1 - 1
