,squadra_casa,squadra_trasferta,risultato
0,Napoli,Torino,3 - 1
1,Inter,Roma,1 - 2
2,Empoli,Milan,1 - 3
3,Lazio,Spezia,4 - 0
4,Lecce,Cremonese,1 - 1
5,Sampdoria,Monza,0 - 3
6,Sassuolo,Salernitana,5 - 0
7,Atalanta,Fiorentina,1 - 0
8,Juventus,Bologna,3 - 0
9,Verona,Udinese,1 - 2
