,squadra_casa,squadra_trasferta,risultato
0,Spezia,Inter,2 - 1
1,Empoli,Udinese,0 - 1
2,Napoli,Atalanta,2 - 0
3,Bologna,Lazio,0 - 0
4,Lecce,Torino,0 - 2
5,Cremonese,Fiorentina,0 - 2
6,Verona,Monza,1 - 1
7,Roma,Sassuolo,3 - 4
8,Juventus,Sampdoria,4 - 2
9,Milan,Salernitana,1 - 1
