,squadra_casa,squadra_trasferta,risultato
0,Cremonese,Atalanta,1 - 3
1,Inter,Fiorentina,0 - 1
2,Juventus,Verona,1 - 0
3,Bologna,Udinese,3 - 0
4,Monza,Lazio,0 - 2
5,Spezia,Salernitana,1 - 1
6,Roma,Sampdoria,3 - 0
7,Napoli,Milan,0 - 4
8,Empoli,Lecce,1 - 0
9,Sassuolo,Torino,1 - 1
