,squadra_casa,squadra_trasferta,risultato
0,Udinese,Lecce,1 - 1
1,Empoli,Sassuolo,1 - 0
2,Salernitana,Cremonese,2 - 2
3,Atalanta,Napoli,1 - 2
4,Milan,Spezia,2 - 1
5,Bologna,Torino,2 - 1
6,Sampdoria,Fiorentina,0 - 2
7,Monza,Verona,2 - 0
8,Roma,Lazio,0 - 1
9,Juventus,Inter,2 - 0
