,squadra_casa,squadra_trasferta,risultato
0,Salernitana,Inter,1 - 1
1,Lecce,Napoli,1 - 2
2,Milan,Empoli,0 - 0
3,Udinese,Monza,2 - 2
4,Fiorentina,Spezia,1 - 1
5,Atalanta,Bologna,0 - 2
6,Sampdoria,Cremonese,2 - 3
7,Verona,Sassuolo,2 - 1
8,Torino,Roma,0 - 1
9,Lazio,Juventus,2 - 1
