,squadra_casa,squadra_trasferta,risultato
0,Sassuolo,Inter,1 - 2
1,Milan,Juventus,2 - 0
2,Bologna,Sampdoria,1 - 1
3,Torino,Empoli,1 - 1
4,Monza,Spezia,2 - 0
5,Salernitana,Verona,2 - 1
6,Udinese,Atalanta,2 - 2
7,Cremonese,Napoli,1 - 4
8,Roma,Lecce,2 - 1
9,Fiorentina,Lazio,0 - 4
