,squadra_casa,squadra_trasferta,risultato
0,Napoli,Juventus,5 - 1
1,Cremonese,Monza,2 - 3
2,Lecce,Milan,2 - 2
3,Inter,Verona,1 - 0
4,Sassuolo,Lazio,0 - 2
5,Torino,Spezia,0 - 1
6,Udinese,Bologna,1 - 2
7,Atalanta,Salernitana,8 - 2
8,Roma,Fiorentina,2 - 0
9,Empoli,Sampdoria,1 - 0
