,squadra_casa,squadra_trasferta,risultato
0,Milan,Torino,1 - 0
1,Empoli,Spezia,2 - 2
2,Lecce,Roma,1 - 1
3,Lazio,Atalanta,0 - 2
4,Udinese,Sassuolo,2 - 2
5,Bologna,Monza,0 - 1
6,Juventus,Fiorentina,1 - 0
7,Napoli,Cremonese,3 - 0
8,Verona,Salernitana,1 - 0
9,Sampdoria,Inter,0 - 0
