,squadra_casa,squadra_trasferta,risultato
0,Atalanta,Spezia,3 - 2
1,Juventus,Lecce,2 - 1
2,Sampdoria,Torino,0 - 2
3,Salernitana,Fiorentina,3 - 3
4,Verona,Inter,0 - 6
5,Lazio,Sassuolo,2 - 0
6,Monza,Roma,1 - 1
7,Milan,Cremonese,1 - 1
8,Empoli,Bologna,3 - 1
9,Udinese,Napoli,1 - 1
