,squadra_casa,squadra_trasferta,risultato
0,Napoli,Empoli,2 - 0
1,Spezia,Udinese,1 - 1
2,Cremonese,Milan,0 - 0
3,Lecce,Atalanta,2 - 1
4,Sassuolo,Roma,1 - 1
5,Fiorentina,Salernitana,2 - 1
6,Inter,Bologna,6 - 1
7,Torino,Sampdoria,2 - 0
8,Verona,Juventus,0 - 1
9,Lazio,Monza,1 - 0
