,squadra_casa,squadra_trasferta,risultato
0,Napoli,Spezia,1 - 0
1,Inter,Torino,1 - 0
2,Sampdoria,Milan,1 - 2
3,Atalanta,Cremonese,1 - 1
4,Bologna,Fiorentina,2 - 1
5,Lecce,Monza,1 - 1
6,Sassuolo,Udinese,1 - 3
7,Lazio,Verona,2 - 0
8,Juventus,Salernitana,2 - 2
9,Empoli,Roma,1 - 2
