,squadra_casa,squadra_trasferta,risultato
0,Fiorentina,Sassuolo,2 - 1
1,Juventus,Udinese,1 - 0
2,Monza,Inter,2 - 2
3,Salernitana,Torino,1 - 1
4,Lazio,Empoli,2 - 2
5,Spezia,Lecce,0 - 0
6,Sampdoria,Napoli,0 - 2
7,Milan,Roma,2 - 2
8,Verona,Cremonese,2 - 0
9,Bologna,Atalanta,1 - 2
