,squadra_casa,squadra_trasferta,risultato
0,Verona,Lecce,2 - 0
1,Salernitana,Napoli,0 - 2
2,Fiorentina,Torino,0 - 1
3,Sampdoria,Udinese,0 - 1
4,Monza,Sassuolo,1 - 1
5,Spezia,Roma,0 - 2
6,Juventus,Atalanta,3 - 3
7,Bologna,Cremonese,1 - 1
8,Inter,Empoli,0 - 1
9,Lazio,Milan,4 - 0
