,squadra_casa,squadra_trasferta,risultato
0,Empoli,Cremonese,2 - 0
1,Napoli,Udinese,3 - 2
2,Sampdoria,Lecce,0 - 2
3,Bologna,Sassuolo,3 - 0
4,Atalanta,Inter,2 - 3
5,Verona,Spezia,1 - 2
6,Monza,Salernitana,3 - 0
7,Roma,Torino,1 - 1
8,Milan,Fiorentina,2 - 1
9,Juventus,Lazio,3 - 0
