Partita,O,U
Torino-Bologna,0.23023247470572294,0.769767525294277
Monza-Lazio,0.2761045972707924,0.7238954027292076
Sassuolo-Inter,0.5980565779077178,0.4019434220922822
Cagliari-Lecce,0.47962533399864493,0.5203746660013551
Empoli-Frosinone,0.543561258769853,0.45643874123014705
Verona-Fiorentina,0.3621676967727748,0.6378323032272252
Milan-Genoa,0.46645695649232055,0.5335430435076794
Roma-Juventus,0.38413167962402905,0.615868320375971
Salernitana-Atalanta,0.5713954170628976,0.4286045829371024
Udinese-Napoli,0.34488600792532564,0.6551139920746744
