Partita,GG,NG
Torino-Bologna,0.5355450236966824,0.46445497630331756
Monza-Lazio,0.5781990521327014,0.4218009478672986
Sassuolo-Inter,0.5924170616113744,0.4075829383886256
Cagliari-Lecce,0.5497630331753555,0.45023696682464454
Empoli-Frosinone,0.5165876777251185,0.4834123222748815
Verona-Fiorentina,0.5971563981042654,0.4028436018957346
Milan-Genoa,0.5118483412322274,0.4881516587677725
Roma-Juventus,0.5402843601895735,0.4597156398104265
Salernitana-Atalanta,0.6350710900473934,0.36492890995260663
Udinese-Napoli,0.6113744075829384,0.3886255924170616
