Partita,0,1,2,3,4
Torino-Bologna,0.5653165796016626,0.22132898198227977,0.17124382762226742,0.033512144186128065,0.008598466607662163
Monza-Lazio,0.5962774491687195,0.22584352129574567,0.12036271825969308,0.04503983306808192,0.012476478207759895
Sassuolo-Inter,0.10138491517033882,0.17334016168341146,0.41178833444804275,0.1773051667328474,0.13618142196535948
Cagliari-Lecce,0.2607329838649495,0.4477783532114349,0.2271662430754972,0.05227958818613041,0.012042831661987913
Empoli-Frosinone,0.5851841366107027,0.26749592081304574,0.08684813705971065,0.047569285397899494,0.012902520118641521
Verona-Fiorentina,0.2747501874518949,0.34934555608396745,0.3100556570464073,0.04783613020845459,0.018012469209275836
Milan-Genoa,0.535693385153786,0.2839712089272705,0.14500714206312315,0.02543601369635612,0.009892250159464334
Roma-Juventus,0.3057024340409133,0.3156705681729763,0.2946873107524847,0.0704796624537036,0.013460024579922144
Salernitana-Atalanta,0.13275106603346712,0.22597368833835943,0.29734994434487416,0.3154030036891914,0.028522297594107904
Udinese-Napoli,0.3279326473319677,0.2624036571147104,0.31373915021657767,0.05793909182411121,0.03798545351263305
