Partita,O,U
Sassuolo-Verona,0.54,0.46
Roma-Milan,0.54,0.46
Bologna-Cagliari,0.54,0.46
Udinese-Frosinone,0.54,0.46
Atalanta-Monza,0.54,0.46
Napoli-Lazio,0.54,0.46
Inter-Fiorentina,0.54,0.46
Torino-Genoa,0.54,0.46
Empoli-Juventus,0.54,0.46
Lecce-Salernitana,0.54,0.46
