Partita,V,N,P
Sassuolo-Verona,0.26,0.32,0.42
Roma-Milan,0.28,0.28,0.44
Bologna-Cagliari,0.42,0.28,0.3
Udinese-Frosinone,0.33,0.3,0.38
Atalanta-Monza,0.39,0.27,0.34
Napoli-Lazio,0.58,0.21,0.21
Inter-Fiorentina,0.43,0.25,0.32
Torino-Genoa,0.32,0.31,0.37
Empoli-Juventus,0.26,0.31,0.42
Lecce-Salernitana,0.47,0.25,0.28
