Partita,GG,NG
Sassuolo-Verona,0.58,0.42
Roma-Milan,0.58,0.42
Bologna-Cagliari,0.55,0.45
Udinese-Frosinone,0.59,0.41
Atalanta-Monza,0.57,0.43
Napoli-Lazio,0.57,0.43
Inter-Fiorentina,0.57,0.43
Torino-Genoa,0.58,0.42
Empoli-Juventus,0.58,0.42
Lecce-Salernitana,0.57,0.43
