Partita,O,U
Frosinone-Inter,0.683824758783202,0.3161752412167979
Napoli-Bologna,0.33434603912038297,0.665653960879617
Milan-Cagliari,0.46495561472108016,0.5350443852789198
Lazio-Empoli,0.30311983106520823,0.6968801689347918
Genoa-Sassuolo,0.27249959745721775,0.7275004025427823
Verona-Torino,0.16254460244082203,0.837455397559178
Juventus-Salernitana,0.3909713036388085,0.6090286963611915
Atalanta-Roma,0.43698474321282754,0.5630152567871725
Lecce-Udinese,0.3590522043080159,0.6409477956919841
Fiorentina-Monza,0.25775488400865243,0.7422451159913476
