Partita,GG,NG
Frosinone-Inter,0.6113744075829384,0.3886255924170616
Napoli-Bologna,0.5308056872037915,0.46919431279620855
Milan-Cagliari,0.47393364928909953,0.5260663507109005
Lazio-Empoli,0.5118483412322274,0.4881516587677725
Genoa-Sassuolo,0.5497630331753555,0.45023696682464454
Verona-Torino,0.5592417061611374,0.44075829383886256
Juventus-Salernitana,0.45023696682464454,0.5497630331753555
Atalanta-Roma,0.4976303317535545,0.5023696682464455
Lecce-Udinese,0.5355450236966824,0.46445497630331756
Fiorentina-Monza,0.5308056872037915,0.46919431279620855
