Partita,V,N,P
Frosinone-Inter,0.007612247977140822,0.07114685027997351,0.9212409017428855
Napoli-Bologna,0.25432871244976146,0.48263810848830935,0.2630331790619293
Milan-Cagliari,0.6009851096230671,0.31122220095743913,0.08779268941949382
Lazio-Empoli,0.324464160592843,0.4779352515596309,0.19760058784752615
Genoa-Sassuolo,0.36821348530230513,0.46604611686530734,0.1657403978323875
Verona-Torino,0.16422372764200863,0.5937425735333729,0.24203369882461837
Juventus-Salernitana,0.7645032176030409,0.21094110965027757,0.024555672746681547
Atalanta-Roma,0.43666863316560117,0.3716521562465279,0.19167921058787082
Lecce-Udinese,0.0983463164316062,0.38381273350108464,0.5178409500673092
Fiorentina-Monza,0.356938758808361,0.46549524533039205,0.17756599586124702
