Partita,V,N,P
Juventus-Lazio,0.53,0.23,0.24
Inter-Milan,0.43,0.22,0.35
Genoa-Napoli,0.26,0.31,0.44
Cagliari-Udinese,0.39,0.31,0.31
Frosinone-Sassuolo,0.51,0.21,0.27
Monza-Lecce,0.29,0.27,0.44
Fiorentina-Atalanta,0.35,0.27,0.38
Roma-Empoli,0.42,0.31,0.27
Salernitana-Torino,0.37,0.3,0.33
Verona-Bologna,0.48,0.25,0.27
