Partita,GG,NG
Juventus-Lazio,0.22,0.78
Inter-Milan,0.16,0.84
Genoa-Napoli,0.26,0.74
Cagliari-Udinese,0.5,0.5
Frosinone-Sassuolo,0.19,0.81
Monza-Lecce,0.19,0.81
Fiorentina-Atalanta,0.24,0.76
Roma-Empoli,0.49,0.51
Salernitana-Torino,0.13,0.87
Verona-Bologna,0.17,0.83
