Partita,O,U
Juventus-Lazio,0.36,0.64
Inter-Milan,0.35,0.65
Genoa-Napoli,0.4,0.6
Cagliari-Udinese,0.31,0.69
Frosinone-Sassuolo,0.39,0.61
Monza-Lecce,0.33,0.67
Fiorentina-Atalanta,0.16,0.84
Roma-Empoli,0.26,0.74
Salernitana-Torino,0.39,0.61
Verona-Bologna,0.33,0.67
