,squadra,esito
0,Genoa,pareggio
1,Juventus,vittoria
2,Sassuolo,sconfitta
3,Venezia,sconfitta
4,Verona,pareggio
5,Inter,vittoria
6,Roma,pareggio
7,Empoli,sconfitta
8,Napoli,sconfitta
9,Udinese,sconfitta
10,Atalanta,pareggio
11,Cagliari,sconfitta
12,Bologna,vittoria
13,Lazio,vittoria
14,Fiorentina,pareggio
15,Torino,sconfitta
16,Sampdoria,pareggio
17,Milan,vittoria
18,Spezia,vittoria
19,Salernitana,vittoria
