,squadra,esito
0,Bologna,pareggio
1,Atalanta,vittoria
2,Fiorentina,sconfitta
3,Salernitana,pareggio
4,Spezia,sconfitta
5,Cagliari,sconfitta
6,Milan,vittoria
7,Sampdoria,sconfitta
8,Torino,pareggio
9,Roma,vittoria
10,Genoa,pareggio
11,Sassuolo,sconfitta
12,Inter,vittoria
13,Verona,pareggio
14,Juventus,vittoria
15,Empoli,vittoria
16,Venezia,sconfitta
17,Napoli,vittoria
18,Lazio,pareggio
19,Udinese,sconfitta
