,squadra,esito
0,Salernitana,pareggio
1,Spezia,vittoria
2,Sampdoria,sconfitta
3,Milan,vittoria
4,Fiorentina,vittoria
5,Verona,sconfitta
6,Atalanta,pareggio
7,Udinese,pareggio
8,Torino,pareggio
9,Lazio,vittoria
10,Sassuolo,pareggio
11,Cagliari,sconfitta
12,Juventus,vittoria
13,Empoli,sconfitta
14,Bologna,sconfitta
15,Napoli,vittoria
16,Genoa,pareggio
17,Roma,pareggio
18,Inter,pareggio
19,Venezia,sconfitta
