,squadra,esito
0,Lazio,vittoria
1,Salernitana,sconfitta
2,Atalanta,sconfitta
3,Bologna,sconfitta
4,Cagliari,sconfitta
5,Fiorentina,pareggio
6,Spezia,pareggio
7,Sampdoria,pareggio
8,Torino,vittoria
9,Milan,sconfitta
10,Genoa,sconfitta
11,Inter,vittoria
12,Roma,vittoria
13,Juventus,vittoria
14,Udinese,vittoria
15,Sassuolo,pareggio
16,Empoli,pareggio
17,Venezia,pareggio
18,Verona,sconfitta
19,Napoli,vittoria
