,squadra,esito
0,Torino,vittoria
1,Sampdoria,vittoria
2,Salernitana,sconfitta
3,Sassuolo,vittoria
4,Bologna,sconfitta
5,Atalanta,pareggio
6,Fiorentina,vittoria
7,Verona,vittoria
8,Roma,pareggio
9,Inter,pareggio
10,Genoa,sconfitta
11,Spezia,sconfitta
12,Empoli,vittoria
13,Venezia,sconfitta
14,Milan,vittoria
15,Udinese,pareggio
16,Cagliari,sconfitta
17,Lazio,sconfitta
18,Napoli,pareggio
19,Juventus,pareggio
